NodeIdx,NodeType,Degree,NodeID_orig,LongName
1,1,2,R1030,"OR14A16 Indel"
2,1,3,R1034,"OR6P1"
3,1,1,R1037,"OR10J5"
4,1,2,R1039,"OR6F1"
5,1,4,R1042,"OR14A2"
6,1,2,R1044,"OR1C1"
7,1,1,R1047,"OR2T10"
8,1,1,R1058,"OR4F6"
9,1,2,R1061,"OR2H2 L30F/A48V"
10,1,2,R1062,"OR11A1"
11,1,2,R1063,"OR2B3"
12,1,2,R1064,"pseudo"
13,1,2,R1065,"OR10C1"
14,1,1,R1066,"OR2H2"
15,1,2,R1067,"OR2W1"
16,1,2,R1070,"OR5V1"
17,1,1,R1071,"OR12D3"
18,1,1,R1072,"OR8D4 C120Y/R133K/F200L/L283P/R298K"
19,1,7,R1073,"OR2J2 T111A"
20,1,2,R1075,"OR12D2"
21,1,5,R1082,"OR2F1"
22,1,2,R1085,"OR2A12"
23,1,1,R1094,"OR13C4"
24,1,1,R1105,"OR1N2 W23R/V230G/T287M "
25,1,1,R1107,"OR13A1  "
26,1,6,R1108,"OR10G6"
27,1,1,R1109,"OR9G4 N191D "
28,1,4,R1111,"OR9G1"
29,1,2,R1112,"OR2AG1"
30,1,1,R1113,"OR52E1"
31,1,1,R1115,"OR5P3"
32,1,5,R1116,"OR52L1 D73N/C125R/C146R/K168T/W282R "
33,1,3,R1119,"OR10G4 A9V/M134V/V195E/R235G/K295Q"
34,1,1,R1120,"OR10G7"
35,1,1,R1125,"OR5M10 V69L"
36,1,1,R1128,"OR56A3 M51T"
37,1,1,R1129,"OR51E1"
38,1,2,R1134,"OR4A4  "
39,1,1,R1136,"OR1S2"
40,1,2,R1137,"OR1S2 I46T "
41,1,5,R1142,"OR8D1"
42,1,1,R1155,"OR4C12 V283L"
43,1,1,R1158,"OR1A2"
44,1,2,R1161,"OR4F17"
45,1,1,R1162,"OR5R1"
46,1,1,R1163,"OR52K1"
47,1,2,R1164,"OR52D1"
48,1,1,R1172,"OR5D13 C62Y/R236L "
49,1,1,R1183,"OR51L1  "
50,1,1,R1185,"OR5P2"
51,1,1,R1190,"OR51Q1"
52,1,3,R1193,"OR4X2"
53,1,1,R1194,"OR5M9"
54,1,2,R1195,"OR8K3 L122R"
55,1,1,R1204,"OR5L1  "
56,1,3,R1205,"OR51E2  "
57,1,2,R1206,"OR51D1"
58,1,1,R1207,"OR5AR1"
59,1,6,R1219,"OR10A6"
60,1,1,R1226,"OR8B8  "
61,1,2,R1227,"OR8B4 E22G"
62,1,1,R1230,"OR5D14"
63,1,1,R1231,"OR6Q1"
64,1,1,R1238,"OR52N5"
65,1,1,R1240,"OR8B2  "
66,1,1,R1241,"OR5J2  "
67,1,2,R1251,"OR10AG1"
68,1,4,R1252,"OR10A7"
69,1,1,R1257,"OR1E1  "
70,1,2,R1258,"OR4K2"
71,1,1,R1259,"OR4K3"
72,1,2,R1261,"OR4K5"
73,1,1,R1262,"OR4N5"
74,1,1,R1263,"OR11H4"
75,1,1,R1265,"OR4L1 R52S"
76,1,2,R1269,"OR4K1 R89H"
77,1,3,R1270,"OR4N2"
78,1,1,R1271,"OR6S1 T42I/V156I/R237H"
79,1,3,R1272,"OR10G3 S73G"
80,1,4,R1274,"OR4E2 V118M/Q234R"
81,1,1,R1275,"OR11H6  "
82,1,2,R1277,"OR4N4"
83,1,1,R1279,"OR8S1 M48V/L82P/R128C/A198T"
84,1,2,R1281,"OR1F1 F75S"
85,1,5,R1282,"OR2C1 C149W"
86,1,1,R1284,"OR4C3  "
87,1,2,R1285,"OR4D2 C97S/L187F"
88,1,5,R1288,"OR3A1  "
89,1,1,R1289,"OR1D5"
90,1,4,R1291,"OR10H1"
91,1,2,R1294,"OR10H5 A224D"
92,1,1,R1298,"OR7D4"
93,1,2,R1299,"OR7C1"
94,1,1,R1306,"OR52B6 T36A/L90H/A146T/H149R/V267I "
95,1,1,R1312,"OR7G2 V263A/F281V "
96,1,1,R1318,"OR14J1  "
97,1,1,R1324,"OR52I2 T132M "
98,1,1,R1335,"OR5AK2 M92I "
99,1,2,R1337,"OR4C15"
100,1,1,R1338,"OR13D1"
101,1,3,R1339,"OR13C3 G2C "
102,1,1,R1350,"OR1N2 W37R/V244G/T301M "
103,1,1,R1351,"OR2T1  "
104,1,1,R1362,"OR5AL1"
105,1,1,R1363,"pseudo"
106,1,2,R1366,"OR10C1 F60L/P174Q/M246V "
107,1,2,R1367,"OR51F1  "
108,1,1,R1368,"OR10X1"
109,1,3,R1371,"OR2J1  "
110,1,1,R1373,"OR12D2 V47F/L56P/S104F/F113L/L120R/V159I"
111,1,2,R1376,"OR1D2"
112,1,1,R1377,"OR2M7"
113,1,1,R1378,"OR2M7 F35L/V78A/C178F"
114,1,1,R1382,"OR2G3"
115,1,1,R1385,"OR2G2"
116,1,2,R1387,"OR2A25"
117,1,2,R1390,"OR13C3  "
118,1,1,R1391,"OR14J1"
119,1,1,R1393,"OR2H1"
120,1,1,R1395,"OR8G1"
121,1,1,R1401,"OR2M7 F35L/V78A/C178F/D191N"
122,1,6,R1402,"OR2J2 Y74H/T111A/V146A/T218A"
123,1,6,R1403,"OR2J2"
124,1,6,R1404,"OR2J2"
125,1,2,R1406,"OR2C1"
126,1,2,R1407,"OR2C1"
127,1,2,R1408,"OR2C1 G16S/C149W/R229H"
128,1,2,R1409,"OR2C1 P58S/C149W"
129,1,1,R1410,"OR10J5 R233W"
130,1,3,R1411,"OR4Q3"
131,1,1,R1416,"OR10A3"
132,1,6,R1418,"OR2B11"
133,1,1,R1423,"OR11H4  "
134,1,1,R1430,"pseudo"
135,1,1,R1431,"OR8K1"
136,1,1,R1432,"OR2T6 N21D/C23G/S243A"
137,1,1,R1438,"OR5AK2"
138,1,2,R1440,"OR8B4 Y131H/C140F/C178R"
139,1,2,R1442,"OR6C1 V74I/C130Y/L161F/H165D/V246I/R291K"
140,1,2,R1447,"OR1E2 C27R"
141,1,1,R1449,"OR4C15"
142,1,1,R1451,"OR6C68 A45T "
143,1,1,R1452,"OR9G1 C53R/T62I/C98G "
144,1,1,R1453,"OR13A1"
145,1,1,R1455,"OR1S1"
146,1,1,R1457,"OR11H6"
147,1,1,R1459,"OR6C65"
148,1,3,R1461,"OR10H2 L40Q"
149,1,1,R1462,"OR2S2  "
150,1,3,R1463,"OR1N1"
151,1,1,R1465,"OR2L2"
152,1,1,R1466,"OR5H2 E11Q/I225V/I281V "
153,1,1,R1467,"OR4D1 R54Q"
154,1,4,R1474,"OR2T1 P132L"
155,1,1,R1475,"OR7G2"
156,1,1,R1484,"OR13D1"
157,1,1,R1488,"OR1G1"
158,1,1,R1491,"OR2W3 Indel "
159,1,1,R1494,"OR2M2 R220G/C235R"
160,1,1,R1499,"OR8U8"
161,1,3,R1502,"OR5K1"
162,1,2,R1504,"OR8B8"
163,1,1,R1505,"OR1N2"
164,1,1,R1511,"OR5D16"
165,1,1,R1516,"OR10X1  "
166,1,1,R1517,"OR1E2"
167,1,1,R1522,"OR2AT4"
168,1,1,R1528,"OR1A1 R128H"
169,1,2,R1529,"OR1A1"
170,1,2,R1530,"OR1A1 V233M"
171,1,2,R1531,"OR1A1 P285S"
172,1,1,R1532,"OR51E1 S11N"
173,1,1,R1533,"OR51L1 T196I/A207V"
174,1,1,R1534,"OR51L1"
175,1,1,R1535,"OR51L1 I281M"
176,1,2,R1536,"OR2W1 D296N"
177,1,1,R1537,"OR4F6  "
178,1,2,R1545,"OR2T29"
179,1,1,R1554,"OR51B6"
180,1,5,R1571,"OR2C1 G16S/C149W/C169Y/R229H"
181,1,2,R1572,"OR2W1 M81V"
182,1,1,R1573,"OR51E1 K299R "
183,1,1,R1574,"OR7D4"
184,1,2,R1575,"OR2J1 L12I"
185,1,2,R1580,"OR4F21"
186,1,6,R1581,"OR10A6 V140G/L287P"
187,1,6,R1582,"OR10A6 A117V/V140G/L287P"
188,1,2,R1583,"OR10C1 M246V"
189,1,2,R1584,"OR10C1"
190,1,3,R1585,"OR10G3"
191,1,1,R1586,"OR10G6 C190S"
192,1,1,R1587,"OR10G6 R75P"
193,1,1,R1588,"OR10G6  "
194,1,8,R1589,"OR10G7"
195,1,1,R1590,"OR10G7 T90A"
196,1,1,R1591,"OR10G7 T13M"
197,1,1,R1592,"OR10H1 G16R/A65V"
198,1,3,R1593,"OR10H2"
199,1,1,R1594,"OR10H5 S268Y"
200,1,1,R1595,"OR10H5 A19V/S268Y"
201,1,1,R1596,"OR10H5"
202,1,1,R1597,"OR10H5"
203,1,1,R1599,"OR13A1  "
204,1,1,R1600,"OR14A2 A115V "
205,1,1,R1601,"OR14A2 A115V "
206,1,1,R1602,"OR1D4"
207,1,1,R1603,"OR1N1 P18S"
208,1,1,R1604,"OR2A25"
209,1,1,R1605,"OR2A25 S75N"
210,1,1,R1606,"OR2A25 A209P"
211,1,2,R1607,"OR2A25 S75N/A209P"
212,1,2,R1608,"OR2B11"
213,1,5,R1609,"OR2B11 V198M"
214,1,4,R1610,"OR2B11 V198M/G223D"
215,1,5,R1611,"OR2B11 V198M/T293I/D300G"
216,1,4,R1612,"OR2B11 I130S/V198M"
217,1,2,R1613,"OR2F1"
218,1,1,R1614,"OR2F1 T57A/H137R"
219,1,1,R1615,"OR2F1 R122C/H137R"
220,1,7,R1616,"OR2J3 I228V/M261I"
221,1,4,R1617,"OR2J3 I228V"
222,1,2,R1618,"OR2J3"
223,1,4,R1619,"OR2J3 R226Q/I228V/M261I"
224,1,1,R1620,"OR2M2 S87C/R220G/C235R"
225,1,1,R1621,"OR2M2"
226,1,1,R1622,"OR2M2 R220G/C235R/A237T"
227,1,1,R1623,"OR2T1"
228,1,1,R1624,"OR2T1 I76V"
229,1,1,R1626,"OR2T29"
230,1,1,R1633,"OR2F1"
231,1,3,R1634,"OR3A1"
232,1,3,R1635,"OR3A1 R125Q"
233,1,3,R1636,"OR3A1"
234,1,1,R1637,"OR4A5"
235,1,1,R1638,"OR4D2 L29I"
236,1,1,R1639,"OR4D2"
237,1,1,R1640,"OR4D2"
238,1,1,R1641,"OR4F17"
239,1,2,R1646,"OR4K2 N307I"
240,1,2,R1647,"OR4N2 I76T"
241,1,2,R1648,"OR4N2 P58A/I76T/P133S/V135L"
242,1,1,R1649,"OR4N5"
243,1,3,R1650,"OR4Q3 F238L"
244,1,1,R1651,"OR51F1"
245,1,1,R1652,"OR51F1 T13A"
246,1,1,R1653,"OR52I2  "
247,1,1,R1654,"OR52K1 Q52R/R153W"
248,1,1,R1655,"OR52K1 Q52R"
249,1,1,R1660,"OR56A3"
250,1,1,R1661,"OR5AL1 Insertion"
251,1,1,R1662,"OR5AL1 Insertion"
252,1,1,R1664,"OR5D14 S249A/L290P "
253,1,1,R1665,"OR5D14"
254,1,1,R1666,"OR5D14 Q102L/S249A "
255,1,1,R1667,"OR5D14 S249A "
256,1,1,R1669,"OR6F1 P159A/F215L"
257,1,1,R1670,"OR6F1 F215L"
258,1,1,R1671,"OR6S1 R237H/R296C"
259,1,1,R1672,"OR6S1 R237H"
260,1,1,R1673,"OR7G2 V263A/F281V"
261,1,1,R1674,"OR7G2"
262,1,1,R1675,"OR7G2 P175L"
263,1,1,R1676,"OR9G1 C53R/T62I/C98G/A259S"
264,1,1,R1677,"OR9G1"
265,1,1,R1678,"OR9G1 C53R/T62I"
266,1,1,R1679,"OR9G1"
267,1,1,R1682,"OR14J1 M7T"
268,1,1,R1683,"OR14J1"
269,1,1,R1684,"OR14A16 I238T"
270,1,1,R1685,"OR14A16 V172A/I238T"
271,1,2,R1686,"OR1D2"
272,1,2,R1687,"OR1D2 F31Y"
273,1,2,R1688,"OR1D2 T240I"
274,1,2,R1689,"OR1D2 R25Q"
275,1,1,R1692,"OR1D5"
276,1,1,R1698,"OR51J1 R75H"
277,1,1,R1700,"OR51V1"
278,1,1,R1708,"OR56A5"
279,1,1,R1712,"OR11G2  "
280,1,1,R1717,"OR13C2"
281,1,1,R1723,"OR10A5"
282,1,2,R1724,"OR56A4"
283,1,3,R1727,"OR8B3 H20R/Q24R/V34I/M114I "
284,1,1,R1737,"OR10G4"
285,1,1,R1738,"OR10G4"
286,1,1,R1739,"OR10G4"
287,1,1,R1740,"OR10G4 K295Q"
288,1,3,R1744,"OR2J3 T113A/R226Q/I228V/M261I "
289,1,1,R1745,"OR2J3"
290,1,1,R1746,"OR2J3"
291,1,3,R1747,"OR2J3"
292,1,1,R1748,"OR1D5"
293,1,1,R1749,"OR1D5"
294,1,1,R1761,"OR7D4 R88W/T133M"
295,1,1,R1762,"OR7D4 P79L"
296,1,3,R1764,"OR2J2"
297,1,1,R1765,"OR7C1 V126I/E171K/S210P"
298,1,1,R1766,"OR7C1 E171K"
299,1,1,R1767,"OR7C1"
300,1,1,R1768,"OR7C1 S99G/V126I/E171K/S210P"
301,1,2,R1772,"OR4E1"
302,1,2,R1781,"OR10A6 L287P"
303,1,1,R1784,"OR2J3"
304,2,5,L1024,"(+)-carvone"
305,2,6,L1025,"(-)-carvone"
306,2,1,L1067,"heptanoic acid"
307,2,1,L1069,"propionic acid"
308,2,8,L1078,"n-amyl acetate"
309,2,9,L1081,"geraniol"
310,2,1,L1089,"benzene"
311,2,1,L1101,"anisaldehyde"
312,2,20,L1111,"cinnamaldehyde"
313,2,1,L1113,"(-)-citronellal"
314,2,11,L1115,"coumarin"
315,2,1,L1116,"Cyclohexanone"
316,2,1,L1117,"p-cymene"
317,2,1,L1118,"5,5-Dimethyl-1,3-cyclohexanedione"
318,2,2,L1145,"2-heptanone"
319,2,1,L1155,"nonanedioic acid"
320,2,1,L1164,"1-octanol"
321,2,1,L1171,"nonanal"
322,2,2,L1174,"acetophenone"
323,2,1,L1190,"dihydrojasmone"
324,2,4,L1191,"allyl phenylacetate"
325,2,1,L1192,"dicyclohexyl disulfide"
326,2,5,L1202,"coffee difuran"
327,2,3,L1203,"thioglycolic acid"
328,2,1,L1210,"pyridine"
329,2,1,L1213,"2-methyl-1-propanethiol"
330,2,1,L1262,"beta-Ionone "
331,2,6,L1274,"1-octanethiol"
332,2,5,L1278,"TMT"
333,2,5,L1281,"(-)-menthol"
334,2,2,L1282,"(+)-menthol"
335,2,1,L1283,"1-butanol"
336,2,4,L1285,"2-decenal"
337,2,4,L1286,"2-ethylfenchol"
338,2,4,L1287,"2-methoxy-4-methylphenol"
339,2,8,L1289,"ambrette"
340,2,24,L1290,"androstenone"
341,2,6,L1291,"anise"
342,2,1,L1292,"banana"
343,2,2,L1294,"butyl acetate"
344,2,23,L1295,"butyric acid"
345,2,2,L1296,"caproic acid"
346,2,14,L1299,"cinnamon"
347,2,36,L1300,"cis-3-hexen-1-ol"
348,2,5,L1303,"decyl aldehyde"
349,2,4,L1304,"diacetyl"
350,2,19,L1307,"ethyl vanillin"
351,2,8,L1308,"ethylene brassylate"
352,2,36,L1309,"eugenol"
353,2,23,L1310,"eugenol acetate"
354,2,15,L1311,"eugenol methyl ether"
355,2,1,L1314,"galaxolide"
356,2,14,L1315,"androstadienone"
357,2,27,L1316,"geranyl acetate"
358,2,1,L1317,"guaiacol"
359,2,2,L1323,"isobutyric acid"
360,2,13,L1324,"isoeugenol"
361,2,11,L1325,"isovaleric acid"
362,2,11,L1326,"jasmine"
363,2,11,L1328,"linalool"
364,2,2,L1330,"methyl salicylate"
365,2,3,L1331,"nonyl aldehyde"
366,2,2,L1332,"nutmeg"
367,2,1,L1334,"octyl aldehyde"
368,2,1,L1336,"pentadecalactone"
369,2,10,L1337,"phenyl acetaldehyde"
370,2,1,L1338,"pyrazine"
371,2,1,L1339,"r-carvone"
372,2,1,L1340,"r-limonene"
373,2,5,L1341,"sandalwood"
374,2,9,L1342,"spearmint"
375,2,1,L1343,"terpineol"
376,2,1,L1345,"undecanal"
377,2,8,L1346,"vanillin"
378,2,4,L1348,"helional"
379,2,7,L1360,"quinoline"
380,2,1,L1367,"hexyl octanoate"
381,2,3,L1372,"(+)-dihydrocarvone"
382,2,3,L1376,"r-limonene"
383,2,5,L1378,"lilial"
384,2,5,L1379,"lyral"
385,2,4,L1388,"3-phenyl propyl propionate"
386,2,7,L1391,"amyl laurate"
387,2,1,L1396,"caramel furanone"
388,2,1,L1410,"methyl octanoate"
389,2,1,L1411,"amyl butyrate"
390,2,1,L1412,"1-formylpiperidine"
391,2,3,L1414,"3-methyl-2-hexenoic acid"
392,2,4,L1416,"butyl anthranilate"
